rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-v3-instrumented/bin/rocmfpx-vulkan-plugin.so
0.00.070.474 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.070.929 W srv  llama_server: -----------------
0.00.070.935 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.070.935 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.070.936 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.070.936 W srv  llama_server: -----------------
0.00.072.255 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.926.003 I cmn          init: llama threadpool init, n_threads = 4
0.01.966.502 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 9216, kv_unified = 'false'
0.01.966.545 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.01.966.545 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.01.971.854 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.971.896 I srv  llama_server: model loaded
0.01.971.900 I srv  llama_server: listening on http://127.0.0.1:18233
0.10.511.628 I slot get_availabl: id  2 | task -1 | selected slot by id (2)
0.10.511.680 I slot launch_slot_: id  2 | task 1 | processing task, is_child = 0
0.10.532.175 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.10.532.210 I slot launch_slot_: id  0 | task 3 | processing task, is_child = 0
0.10.532.211 I slot get_availabl: id  1 | task -1 | selected slot by id (1)
0.10.532.224 I slot launch_slot_: id  1 | task 4 | processing task, is_child = 0
0.13.511.908 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.00 s / 682.64 tokens per second
0.13.713.460 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.18 s / 643.78 tokens per second
0.13.713.483 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.18 s / 643.79 tokens per second
0.13.713.497 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.20 s / 679.63 tokens per second
0.13.918.801 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.39 s / 642.54 tokens per second
0.13.918.838 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.39 s / 642.55 tokens per second
0.13.918.861 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.41 s / 676.24 tokens per second
0.14.126.705 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.59 s / 640.99 tokens per second
0.14.126.741 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.59 s / 641.00 tokens per second
0.14.126.765 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.61 s / 672.76 tokens per second
0.14.330.834 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.80 s / 640.24 tokens per second
0.14.330.870 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.80 s / 640.25 tokens per second
0.14.330.894 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2560, progress = 0.31, t =   3.82 s / 670.32 tokens per second
0.14.537.210 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2560, progress = 0.31, t =   4.00 s / 639.21 tokens per second
0.14.537.237 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2560, progress = 0.31, t =   4.00 s / 639.22 tokens per second
0.14.537.256 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2688, progress = 0.33, t =   4.03 s / 667.75 tokens per second
0.14.745.097 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2688, progress = 0.33, t =   4.21 s / 638.05 tokens per second
0.14.745.131 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2688, progress = 0.33, t =   4.21 s / 638.06 tokens per second
0.14.745.154 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2816, progress = 0.34, t =   4.23 s / 665.19 tokens per second
0.14.954.683 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2816, progress = 0.34, t =   4.42 s / 636.76 tokens per second
0.14.954.719 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2816, progress = 0.34, t =   4.42 s / 636.76 tokens per second
0.14.954.743 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2944, progress = 0.36, t =   4.44 s / 662.62 tokens per second
0.15.164.412 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2944, progress = 0.36, t =   4.63 s / 635.56 tokens per second
0.15.164.448 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2944, progress = 0.36, t =   4.63 s / 635.56 tokens per second
0.15.164.476 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3072, progress = 0.38, t =   4.65 s / 660.26 tokens per second
0.15.374.897 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3072, progress = 0.38, t =   4.84 s / 634.37 tokens per second
0.15.374.944 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3072, progress = 0.38, t =   4.84 s / 634.37 tokens per second
0.15.374.976 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3200, progress = 0.39, t =   4.86 s / 658.01 tokens per second
0.15.586.764 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3200, progress = 0.39, t =   5.05 s / 633.10 tokens per second
0.15.586.821 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3200, progress = 0.39, t =   5.05 s / 633.10 tokens per second
0.15.586.860 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3328, progress = 0.41, t =   5.08 s / 655.76 tokens per second
0.15.795.468 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3328, progress = 0.41, t =   5.26 s / 632.31 tokens per second
0.15.795.486 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3328, progress = 0.41, t =   5.26 s / 632.32 tokens per second
0.15.795.496 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3456, progress = 0.42, t =   5.28 s / 654.08 tokens per second
0.16.010.637 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3456, progress = 0.42, t =   5.48 s / 630.85 tokens per second
0.16.010.686 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3456, progress = 0.42, t =   5.48 s / 630.85 tokens per second
0.16.010.722 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3584, progress = 0.44, t =   5.50 s / 651.77 tokens per second
0.16.222.611 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3584, progress = 0.44, t =   5.69 s / 629.84 tokens per second
0.16.222.638 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3584, progress = 0.44, t =   5.69 s / 629.84 tokens per second
0.16.222.656 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3712, progress = 0.45, t =   5.71 s / 649.99 tokens per second
0.16.437.076 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3712, progress = 0.45, t =   5.90 s / 628.64 tokens per second
0.16.437.122 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3712, progress = 0.45, t =   5.90 s / 628.64 tokens per second
0.16.437.154 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3840, progress = 0.47, t =   5.93 s / 648.06 tokens per second
0.16.651.708 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3840, progress = 0.47, t =   6.12 s / 627.51 tokens per second
0.16.651.736 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3840, progress = 0.47, t =   6.12 s / 627.51 tokens per second
0.16.651.755 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3968, progress = 0.48, t =   6.14 s / 646.26 tokens per second
0.16.868.230 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3968, progress = 0.48, t =   6.34 s / 626.27 tokens per second
0.16.868.251 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3968, progress = 0.48, t =   6.34 s / 626.27 tokens per second
0.16.868.273 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4096, progress = 0.50, t =   6.36 s / 644.38 tokens per second
0.17.084.972 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4096, progress = 0.50, t =   6.55 s / 625.08 tokens per second
0.17.084.996 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4096, progress = 0.50, t =   6.55 s / 625.09 tokens per second
0.17.085.008 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4224, progress = 0.52, t =   6.57 s / 642.60 tokens per second
0.17.304.810 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4224, progress = 0.52, t =   6.77 s / 623.69 tokens per second
0.17.304.857 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4224, progress = 0.52, t =   6.77 s / 623.70 tokens per second
0.17.304.886 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4352, progress = 0.53, t =   6.79 s / 640.65 tokens per second
0.17.523.873 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4352, progress = 0.53, t =   6.99 s / 622.46 tokens per second
0.17.523.918 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4352, progress = 0.53, t =   6.99 s / 622.46 tokens per second
0.17.523.950 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4480, progress = 0.55, t =   7.01 s / 638.89 tokens per second
0.17.744.360 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4480, progress = 0.55, t =   7.21 s / 621.18 tokens per second
0.17.744.394 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4480, progress = 0.55, t =   7.21 s / 621.18 tokens per second
0.17.744.417 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4608, progress = 0.56, t =   7.23 s / 637.11 tokens per second
0.17.963.425 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4608, progress = 0.56, t =   7.43 s / 620.09 tokens per second
0.17.963.443 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4608, progress = 0.56, t =   7.43 s / 620.09 tokens per second
0.17.963.453 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4736, progress = 0.58, t =   7.45 s / 635.56 tokens per second
0.18.185.019 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4736, progress = 0.58, t =   7.65 s / 618.86 tokens per second
0.18.185.048 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4736, progress = 0.58, t =   7.65 s / 618.86 tokens per second
0.18.185.064 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4864, progress = 0.59, t =   7.67 s / 633.89 tokens per second
0.18.409.373 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4864, progress = 0.59, t =   7.88 s / 617.49 tokens per second
0.18.409.411 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4864, progress = 0.59, t =   7.88 s / 617.49 tokens per second
0.18.409.437 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4992, progress = 0.61, t =   7.90 s / 632.09 tokens per second
0.18.631.479 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4992, progress = 0.61, t =   8.10 s / 616.36 tokens per second
0.18.631.506 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   4992, progress = 0.61, t =   8.10 s / 616.36 tokens per second
0.18.631.519 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   5120, progress = 0.62, t =   8.12 s / 630.56 tokens per second
0.18.858.422 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   5120, progress = 0.62, t =   8.33 s / 614.93 tokens per second
