rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-v3-instrumented/bin/rocmfpx-vulkan-plugin.so
0.00.073.861 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.074.315 W srv  llama_server: -----------------
0.00.074.318 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.074.318 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.074.319 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.074.319 W srv  llama_server: -----------------
0.00.075.591 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.934.727 I cmn          init: llama threadpool init, n_threads = 4
0.01.976.587 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 9216, kv_unified = 'false'
0.01.976.635 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.01.976.636 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.01.982.263 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.982.308 I srv  llama_server: model loaded
0.01.982.314 I srv  llama_server: listening on http://127.0.0.1:18233
0.10.673.812 I slot get_availabl: id  2 | task -1 | selected slot by id (2)
0.10.673.844 I slot launch_slot_: id  2 | task 1 | processing task, is_child = 0
0.10.693.662 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.10.693.693 I slot launch_slot_: id  0 | task 3 | processing task, is_child = 0
0.10.693.694 I slot get_availabl: id  1 | task -1 | selected slot by id (1)
0.10.693.707 I slot launch_slot_: id  1 | task 4 | processing task, is_child = 0
0.13.674.611 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.00 s / 682.51 tokens per second
0.13.878.934 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.19 s / 642.98 tokens per second
0.13.878.983 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.19 s / 642.98 tokens per second
0.13.879.033 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.21 s / 678.93 tokens per second
0.14.083.382 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.39 s / 641.96 tokens per second
0.14.083.408 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.39 s / 641.96 tokens per second
0.14.083.425 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.41 s / 675.76 tokens per second
0.14.287.240 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.59 s / 641.16 tokens per second
0.14.287.267 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.59 s / 641.17 tokens per second
0.14.287.283 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.61 s / 673.06 tokens per second
0.14.492.561 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.80 s / 640.20 tokens per second
0.14.492.626 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.80 s / 640.21 tokens per second
0.14.492.662 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2560, progress = 0.31, t =   3.82 s / 670.39 tokens per second
0.14.698.189 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2560, progress = 0.31, t =   4.00 s / 639.29 tokens per second
0.14.698.208 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2560, progress = 0.31, t =   4.00 s / 639.29 tokens per second
0.14.698.224 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2688, progress = 0.33, t =   4.02 s / 667.94 tokens per second
0.14.906.740 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2688, progress = 0.33, t =   4.21 s / 638.03 tokens per second
0.14.906.776 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2688, progress = 0.33, t =   4.21 s / 638.03 tokens per second
0.14.906.801 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2816, progress = 0.34, t =   4.23 s / 665.27 tokens per second
0.15.116.397 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2816, progress = 0.34, t =   4.42 s / 636.72 tokens per second
0.15.116.440 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2816, progress = 0.34, t =   4.42 s / 636.73 tokens per second
0.15.116.472 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2944, progress = 0.36, t =   4.44 s / 662.69 tokens per second
0.15.323.866 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2944, progress = 0.36, t =   4.63 s / 635.84 tokens per second
0.15.323.891 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2944, progress = 0.36, t =   4.63 s / 635.84 tokens per second
0.15.323.907 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3072, progress = 0.38, t =   4.65 s / 660.65 tokens per second
0.15.534.611 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3072, progress = 0.38, t =   4.84 s / 634.60 tokens per second
0.15.534.646 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3072, progress = 0.38, t =   4.84 s / 634.60 tokens per second
0.15.534.669 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3200, progress = 0.39, t =   4.86 s / 658.34 tokens per second
0.15.746.632 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3200, progress = 0.39, t =   5.05 s / 633.30 tokens per second
0.15.746.677 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3200, progress = 0.39, t =   5.05 s / 633.31 tokens per second
0.15.746.713 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3328, progress = 0.41, t =   5.07 s / 656.06 tokens per second
0.15.955.789 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3328, progress = 0.41, t =   5.26 s / 632.45 tokens per second
0.15.955.809 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3328, progress = 0.41, t =   5.26 s / 632.46 tokens per second
0.15.955.819 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3456, progress = 0.42, t =   5.28 s / 654.31 tokens per second
0.16.170.219 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3456, progress = 0.42, t =   5.48 s / 631.06 tokens per second
0.16.170.291 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3456, progress = 0.42, t =   5.48 s / 631.07 tokens per second
0.16.170.321 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3584, progress = 0.44, t =   5.50 s / 652.07 tokens per second
0.16.383.892 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   3584, progress = 0.44, t =   5.69 s / 629.86 tokens per second
0.16.383.917 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   3584, progress = 0.44, t =   5.69 s / 629.86 tokens per second
0.16.383.932 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3712, progress = 0.45, t =   5.71 s / 650.09 tokens per second
