rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-v3-instrumented/bin/rocmfpx-vulkan-plugin.so
0.00.072.609 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.073.210 W srv  llama_server: -----------------
0.00.073.212 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.073.212 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.073.213 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.073.213 W srv  llama_server: -----------------
0.00.074.576 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.908.027 I cmn          init: llama threadpool init, n_threads = 4
0.01.948.845 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 9216, kv_unified = 'false'
0.01.948.894 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.01.948.895 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.01.953.848 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.953.889 I srv  llama_server: model loaded
0.01.953.899 I srv  llama_server: listening on http://127.0.0.1:18233
0.10.447.804 I slot get_availabl: id  2 | task -1 | selected slot by id (2)
0.15.728.226 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   3328, progress = 0.41, t =   5.26 s / 632.58 tokens per second
0.15.728.238 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3456, progress = 0.42, t =   5.28 s / 654.51 tokens per second
0.15.942.765 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   3456, progress = 0.42, t =   5.48 s / 631.17 tokens per second
0.15.942.799 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   3456, progress = 0.42, t =   5.48 s / 631.17 tokens per second
0.15.942.822 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3584, progress = 0.44, t =   5.49 s / 652.25 tokens per second
0.16.157.575 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   3584, progress = 0.44, t =   5.69 s / 629.83 tokens per second
0.16.157.610 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   3584, progress = 0.44, t =   5.69 s / 629.84 tokens per second
0.16.157.635 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3712, progress = 0.45, t =   5.71 s / 650.13 tokens per second
0.16.371.277 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   3712, progress = 0.45, t =   5.90 s / 628.72 tokens per second
0.16.371.299 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   3712, progress = 0.45, t =   5.90 s / 628.72 tokens per second
0.16.371.311 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3840, progress = 0.47, t =   5.92 s / 648.28 tokens per second
0.16.588.908 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   3840, progress = 0.47, t =   6.12 s / 627.28 tokens per second
0.16.588.945 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   3840, progress = 0.47, t =   6.12 s / 627.28 tokens per second
0.16.588.968 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3968, progress = 0.48, t =   6.14 s / 646.15 tokens per second
0.16.806.983 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   3968, progress = 0.48, t =   6.34 s / 625.89 tokens per second
0.16.807.039 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   3968, progress = 0.48, t =   6.34 s / 625.89 tokens per second
0.16.807.074 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4096, progress = 0.50, t =   6.36 s / 644.12 tokens per second
0.17.023.904 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   4096, progress = 0.50, t =   6.56 s / 624.70 tokens per second
0.17.023.941 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   4096, progress = 0.50, t =   6.56 s / 624.71 tokens per second
0.17.023.968 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4224, progress = 0.52, t =   6.58 s / 642.34 tokens per second
0.17.242.547 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   4224, progress = 0.52, t =   6.78 s / 623.44 tokens per second
0.17.242.583 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   4224, progress = 0.52, t =   6.78 s / 623.44 tokens per second
0.17.242.606 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4352, progress = 0.53, t =   6.79 s / 640.50 tokens per second
0.17.459.653 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   4352, progress = 0.53, t =   6.99 s / 622.38 tokens per second
0.17.459.672 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   4352, progress = 0.53, t =   6.99 s / 622.39 tokens per second
0.17.459.691 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4480, progress = 0.55, t =   7.01 s / 638.93 tokens per second
0.17.680.548 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   4480, progress = 0.55, t =   7.21 s / 621.07 tokens per second
0.17.680.586 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   4480, progress = 0.55, t =   7.21 s / 621.07 tokens per second
0.17.680.609 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4608, progress = 0.56, t =   7.23 s / 637.11 tokens per second
0.17.900.289 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   4608, progress = 0.56, t =   7.43 s / 619.93 tokens per second
0.17.900.310 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   4608, progress = 0.56, t =   7.43 s / 619.93 tokens per second
0.17.900.322 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4736, progress = 0.58, t =   7.45 s / 635.50 tokens per second
0.18.124.749 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   4736, progress = 0.58, t =   7.66 s / 618.47 tokens per second
0.18.124.788 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   4736, progress = 0.58, t =   7.66 s / 618.48 tokens per second
0.18.124.811 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4864, progress = 0.59, t =   7.68 s / 633.59 tokens per second
0.18.345.077 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   4864, progress = 0.59, t =   7.88 s / 617.42 tokens per second
0.18.345.100 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   4864, progress = 0.59, t =   7.88 s / 617.43 tokens per second
0.18.345.114 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   4992, progress = 0.61, t =   7.90 s / 632.12 tokens per second
0.18.569.029 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   4992, progress = 0.61, t =   8.10 s / 616.16 tokens per second
0.18.569.069 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   4992, progress = 0.61, t =   8.10 s / 616.16 tokens per second
0.18.569.091 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   5120, progress = 0.62, t =   8.12 s / 630.45 tokens per second
0.18.794.126 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   5120, progress = 0.62, t =   8.33 s / 614.87 tokens per second
0.18.794.158 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   5120, progress = 0.62, t =   8.33 s / 614.87 tokens per second
0.18.794.180 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   5248, progress = 0.64, t =   8.35 s / 628.79 tokens per second
0.19.019.120 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   5248, progress = 0.64, t =   8.55 s / 613.66 tokens per second
0.19.019.185 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   5248, progress = 0.64, t =   8.55 s / 613.67 tokens per second
